iso_code,tot_case,tot_case_new,tot_case_new_mean,tot_deaths,tot_deaths_new,tot_deaths_new_mean,recoveries,recoveries_new,recoveries_new_mean,total_cases_per_million,total_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,population,mobility_outside_res,stringencyindex
"ABW",,,,,,,,,,,,,,,,-29.4,47.22
"AFG",37599,0,36.28571,1375,0,3,27166,0,67.42857,965.852,35.321,,,,38928340,7.2,62.04
"AGO",2015,49,36.14286,92,2,1.714286,698,31,17.28572,59.818,2.738,,,,32866268,-17.2,79.17
"ALB",7812,158,142.1429,234,2,3.714286,3928,57,53.71429,2659.671,80.617,,,,2877800,,53.7
"AND",1024,19,6.714286,53,0,0,875,6,2.857143,13007.18,685.951,,,,77265,,44.44
"ARE",65341,435,304.1429,367,1,1.285714,58022,113,118.4286,6562.525,37.006,6193635,72026,626.227,9890400,-25,29.63
"ARG",312659,6693,6297.857,6330,282,159.5714,228725,5194,5920.286,6618.163,130.034,882176,4027,19.519,45195776,-42,87.96
"ARM",42056,210,180.2857,833,1,3.857143,35226,244,247.7143,14121.73,280.774,,,,2963234,,
"ATG",94,1,.2857143,3,0,0,88,0,1.714286,949.677,30.635,,,,97928,-25.6,
"AUS",24236,247,268.2857,463,13,14.57143,15247,320,352.5714,932.279,17.177,5440495,59882,213.354,25499880,-20.4,79.17
"AUT",24084,255,235,729,0,.7142857,20958,88,98.57143,2650.893,80.942,1048216,10328,116.386,9006400,28.2,31.48
"AZE",34620,146,113.7143,510,1,1.857143,32363,162,186.4286,3400.079,50.201,,,,10139175,,85.19
"BDI",422,6,1.857143,1,0,0,336,0,3,34.985,.084,,,,11890781,,11.11
"BEL",79479,582,547.4286,9969,10,9.857142,18078,30,27.85714,6849.752,860.167,2049288,22858,176.821,11589616,7.6,56.48
"BEN",2095,32,11.57143,39,0,.1428571,1690,0,1.285714,170.17,3.217,,,,12123198,7.4,41.67
"BFA",1285,5,10.28571,55,0,.1428571,1023,5,4,61.474,2.631,,,,20903278,10.4,48.15
"BGD",285091,2747,2656.143,3781,41,38.28571,165738,2913,1807,1714.403,22.709,1341648,12891,8.147,164689376,-9.8,80.09
"BGR",14820,151,132.4286,527,8,6.428571,9931,232,207.4286,2111.12,74.693,343230,3667,49.397,6948445,28.4,30.56
"BHR",47950,369,383.7143,178,3,1.714286,44278,357,348.8571,27730.06,102.845,1000787,19579,588.151,1701583,-18.2,69.44
"BHS",1531,107,70.71429,22,2,1,209,6,12.42857,3621.125,50.858,,,,393248,-84,
"BIH",16691,340,247.1429,507,12,7.714286,10711,432,269.1429,4983.823,150.877,,,,3280815,12.2,59.26
"BLR",69801,128,99.85714,622,5,3.857143,67647,308,250.5714,7373.334,65.296,1384026,6486,146.468,9449321,28.2,11.11
"BLZ",553,78,49,4,0,.2857143,38,0,.8571429,1390.772,10.06,,,,397621,-44.4,70.83
"BOL",105050,2031,1425.571,4233,61,58,39965,1342,1019.286,8825.387,357.405,204818,4607,17.546,11673029,-67.8,89.81
"BRA",3456652,49298,41695.29,111100,1212,985.5714,2801931,50685,42243.29,16030.13,516.975,4152652,,19.536,212559408,-24.8,72.69
"BRB",155,2,1.571429,7,0,0,123,1,1.142857,532.413,24.359,,,,287371,-26.4,50.93
"BRN",143,1,.1428571,3,0,0,139,0,.1428571,324.584,6.857,,,,437483,,37.04
"BTN",147,0,4.857143,0,0,0,103,0,.8571429,190.51,0,,,,771612,,65.74
"BWA",1308,0,34.57143,3,0,.1428571,136,0,8,556.211,1.276,,,,2351625,10,56.94
"CAF",4679,0,3.857143,61,0,0,1755,0,3.857143,968.784,12.63,,,,4829764,,54.63
"CAN",125408,324,386.4286,9095,5,6.142857,111559,467,390,3263.036,239.652,4880172,40129,129.303,37742156,27.6,67.13
"CHE",38760,311,227.2857,1996,4,.7142857,33500,0,114.2857,4431.391,198.276,910283,6189,105.179,8654618,21.6,44.91
"CHL",390037,1182,1695.571,10578,32,53.28571,364285,1845,1838,20341.64,551.678,2087354,19275,109.193,19116208,-43.2,89.35
"CHN",84941,7,19.85714,4634,0,0,79787,56,49,62.178,3.269,,,,1439323776,,81.94
"CIV",17232,82,55,111,1,.8571429,14422,239,157.2857,650.156,4.17,115338,918,4.372,26378276,5.2,26.39
"CMR",18624,25,51.57143,406,0,.7142857,16540,0,174.2857,700.636,15.294,,,,26545864,-.2,60.19
"COD",9741,20,29,246,3,3,8895,13,67.71429,108.529,2.702,,333,,89561408,,36.11
"COG",3850,19,15,77,1,2.428571,1625,0,0,694.987,13.773,,,,5518092,,67.59
"COL",502178,13056,11379.86,15979,360,306,326298,13975,12359,9612.702,306.96,2246595,35883,44.152,50882884,-47.8,87.04
"COM",406,0,1,7,0,0,393,0,2,465.734,8.05,,,,869595,,
"CPV",3321,68,45.85714,36,0,.4285714,2442,52,38.57143,5850.846,64.75,,,,555988,-42.6,70.83
"CRI",30409,766,764.5714,321,7,8.285714,9660,198,210.1429,5819.069,61.64,107672,1059,21.137,5094114,-44.2,66.67
"CUB",3482,74,50.57143,88,0,.1428571,2863,69,51.28571,300.884,7.769,341323,4990,30.135,11326616,,74.07
"CYP",1385,26,13.42857,20,0,0,878,0,1.142857,1551.549,22.834,,,,875899,,52.78
"CZE",20798,315,246.1429,404,3,1.857143,15615,469,315.4286,1912.693,37.445,812835,7206,75.902,10708982,37.6,36.11
"DEU",229706,1586,1263.857,9249,8,5.142857,204454,777,780.4286,2708.323,110.319,10200000,,121.71,83783944,34.8,56.94
"DJI",5374,0,2.285714,59,0,0,5216,0,9.428572,5439.26,59.716,,,,988002,,42.59
"DMA",18,0,0,0,0,0,18,0,0,250.031,0,,,,71991,,36.11
"DNK",16336,90,130.4286,621,0,0,13921,143,88,2737.3,107.213,1990371,7198,343.629,5792203,55.2,56.48
"DOM",88127,1004,843.2857,1501,12,18.57143,56760,1256,1380.714,8031.321,137.262,,,,10847904,-35.2,78.7
"DZA",39847,403,449.7143,1402,11,9.857142,27971,318,334.8571,899.5,31.721,,,,43851044,,68.52
"ECU",104475,1534,1052.143,6146,41,23.14286,87277,94,1198.571,5834.645,346.028,231883,3845,13.143,17643060,-33.2,79.17
"EGY",96914,161,135.8571,5197,13,16,62553,991,950.2857,943.866,50.55,,,,102334400,-3.8,57.41
"ERI",304,0,2.714286,0,0,0,261,0,1.857143,85.72,0,,,,3546427,,93.52
"ESH",10,0,0,1,0,0,8,0,0,1282.373,1.674,,,,597330,,
"ESP",370867,6671,5869,28797,127,31.14286,150376,0,0,7932.172,615.916,5367311,,114.797,46754784,-1.4,62.5
"EST",2207,7,4.714286,63,0,0,2002,12,3.857143,1658.451,47.492,138166,885,104.155,1326539,54.4,19.44
"ETH",34058,1336,1277.143,600,28,19.57143,13308,370,324.8571,284.629,4.975,497971,3895,4.332,114963584,,77.78
"FIN",7805,29,23.28572,334,0,.1428571,7100,50,7.142857,1403.428,60.281,517645,7891,93.426,5540718,36,37.96
"FJI",28,0,.1428571,1,0,0,20,0,.2857143,31.235,1.116,7623,17,8.504,896444,-5,50.93
"FRA",256534,0,1778,30434,0,8.428572,84214,0,86.42857,3389.844,466.514,,18138,,65273512,30.2,43.52
"GAB",8319,49,34.57143,53,0,.2857143,6614,210,99.14286,3715.638,23.812,,,,2225728,-1.6,66.67
"GBR",323008,831,1061,41483,17,9.857142,1495,2,3.285714,4717.998,609.566,12300000,153225,180.776,67886000,-7.4,65.28
"GEO",1361,10,11.85714,17,0,0,1098,6,5.714286,341.173,4.262,,,,3989175,15,53.7
"GHA",43094,101,217.4286,256,8,4.714286,40963,167,234.7143,1383.615,7.981,429773,1078,13.831,31072944,1,52.78
"GIN",8792,77,96.57143,53,1,.4285714,7574,42,73.42857,663.606,3.96,,,,13132792,,70.83
"GMB",2288,172,115.8571,77,14,6.285714,435,20,26.85714,774.622,26.069,,,,2416664,,77.78
"GNB",2117,0,4.142857,33,0,.5714286,1015,0,0,1075.712,16.768,,,,1967998,-14.8,
"GNQ",4892,71,10.14286,83,0,0,2713,531,75.85714,3486.851,59.16,,,,1402985,,
"GRC",7684,212,215.2857,235,3,2.714286,1347,0,0,716.872,22.258,804282,63411,77.164,10423056,67.6,56.02
"GRD",24,0,0,0,0,0,24,0,.1428571,213.297,0,,,,112519,,
"GTM",64881,1034,827.4286,2467,48,28.57143,53362,992,852.5714,3563.772,135.022,,,,17915568,-40.2,87.04
"GUY",776,39,21.85714,27,2,.7142857,381,16,27.14286,936.993,31.784,,,,786559,,73.15
"HKG",4586,26,49,72,1,1.285714,3779,102,84.28571,,,,,,7451000,-23.6,66.67
"HND",52298,628,520.1429,1608,15,10.71429,7867,206,131.7143,5216.764,160.834,,,,9904608,-60.6,96.3
"HRV",7074,219,172,168,2,1.142857,5386,68,51.71429,1669.806,40.436,142124,1653,34.62,4105268,85.2,31.48
"HTI",7949,28,29.42857,196,0,1.285714,5337,102,30.57143,694.67,17.189,,,,11402533,-9.4,17.59
"HUN",5002,32,33.42857,609,0,.5714286,3665,34,19.42857,514.474,63.041,380932,2324,39.433,9660350,31.6,49.07
"IDN",144945,1902,2032.429,6346,69,63.28571,98657,2351,1837,522.964,22.949,1096294,14940,4.008,273523616,-9.2,62.5
"IND",2836925,69672,62898.29,53866,978,976.1429,2096664,58848,57240.29,2005.264,38.325,32700000,918470,23.667,1380004352,-41.6,79.63
"IRL",27547,48,101.2857,1775,0,.1428571,23364,0,0,5569.084,359.472,735598,5685,148.973,4937796,-5.4,38.89
"IRN",350279,2444,2368.572,20125,153,162.4286,302528,1647,1754.857,4141.24,237.782,2939840,25791,35.001,83992952,,62.96
"IRQ",188802,4093,4052.286,6121,85,76.14286,134369,2529,2832.572,4592.181,150.065,1345459,20356,33.45,40222504,-7.8,92.59
"ISL",2035,8,9,10,0,0,1903,8,8,5939.927,29.304,83461,455,244.574,341250,,39.81
"ISR",97969,1560,1402.571,781,73,20.28572,73092,1102,1569,11138.41,81.797,2021151,26229,233.509,8655541,-3.2,34.26
"ITA",255278,642,509.2857,35412,7,26.71428,204506,364,258.4286,4211.517,585.576,4551287,41290,75.275,60461828,14.8,50.93
"JAM",1192,46,18.14286,14,0,0,772,2,2.714286,387.01,4.728,,,,2961161,-19.2,68.52
"JOR",1482,44,25.57143,11,0,0,1259,16,6.285714,140.937,1.078,,,,10203140,-12.4,56.48
"JPN",58728,1092,1062.857,1148,13,11.71429,43786,821,1358.571,455.025,8.919,1526180,21230,12.067,126476456,-15,30.56
"KAZ",103815,244,349,1415,0,20.85714,86450,164,1384.857,6567.978,87.662,2291327,19573,122.03,18776708,-6,75.93
"KEN",31015,379,415.8571,506,19,7.142857,17612,244,428.8571,569.746,9.057,394566,3150,7.338,53771300,-8.8,73.15
"KGZ",42325,179,223.7143,1498,0,2,35197,342,314.2857,6459.958,229.607,,,,6524191,-8.6,79.17
"KHM",273,0,.1428571,0,0,0,253,2,4.285714,16.329,0,,,,16718971,-13.8,38.89
"KNA",17,0,0,0,0,0,17,0,0,319.597,0,,,,53192,,
"KOR",16346,288,225.1429,307,1,.2857143,14063,57,35.14286,313.21,5.968,1684042,12219,32.847,51269184,13,56.02
"KWT",78145,675,622.8571,507,2,2.571429,69771,528,617.1429,18140.46,118.251,573251,4811,134.233,4270563,-28.4,68.52
"LAO",22,0,.2857143,0,0,0,19,0,0,2.749,0,,,,7275556,-12.4,26.85
"LBN",10347,589,419.1429,109,2,2.857143,2928,76,74.42857,1367.97,15.384,,,,6825442,-15.2,24.07
"LBR",1282,0,4.285714,82,0,0,803,0,9.285714,253.476,16.213,,,,5057677,,67.59
"LBY",9463,395,407.4286,169,5,5.285714,1018,15,34.28571,1248.529,22.849,,,,6871287,8.6,87.96
"LCA",26,0,.1428571,0,0,0,25,0,0,141.59,0,,,,183629,,
"LIE",98,1,1.142857,1,0,0,88,0,.1428571,2543.462,26.221,,,,38137,-9.6,
"LKA",2902,0,3,11,0,0,2760,5,17.42857,135.524,.514,,,,21413250,-3,50
"LSO",946,0,21.14286,30,0,.8571429,271,0,13.71429,441.591,14.004,,,,2142252,,71.3
"LTU",2496,22,26.71428,81,0,0,1739,6,8,908.793,29.754,589505,4864,216.547,2722291,56,19.44
"LUX",7566,67,38,124,0,.2857143,6813,60,78.71429,11979.69,198.091,464183,1977,741.535,625976,23.8,22.22
"LVA",1326,3,3.285714,33,0,.1428571,1093,0,2.142857,701.409,17.495,230921,2163,122.426,1886202,72.4,43.52
"MAR",46313,1510,1374.143,743,29,26.71428,31576,574,842.7143,1180.096,18.45,1670569,21841,45.26,36910560,-14.4,70.37
"MCO",148,0,1,4,0,0,114,0,0,3771.277,101.926,,,,39244,,
"MDA",31415,626,388.2857,914,6,7.285714,21885,0,269.5714,7632.445,225.089,,,,4033963,8.6,57.41
"MDG",14074,65,96.71429,173,0,2.428571,12921,154,198.8571,505.904,6.248,,,,27691020,,65.74
"MDV",6225,146,122.7143,24,0,.4285714,3788,140,129.1429,11246.12,44.4,99300,1125,183.705,540542,,
